game_id,season,week,season_type,away_team,home_team,old_game_rating,new_game_rating,rating_delta,old_win_chances_max_diff,old_win_prob_shifts,pbp_status,pbp_raw_rows,pbp_plays,pbp_discarded_rows,pbp_periods,pbp_home_score,pbp_away_score,pregame_home_wp,game_spread,new_win_chances_max_diff,new_win_prob_shifts
401860883,2026,2,regular,Sacramento State,Fresno State,1.85,1.25,-0.6,0.202,8.08,complete,165,153,12,4.0,49.0,3.0,0.9118125438690186,17.5,0.14375638961791992,2.1404753923416138
401860884,2026,2,regular,UTSA,Texas State,7.77,,,0.918,36.72,source_not_completed,30,30,0,1.0,0.0,6.0,,,,
401862702,2026,2,regular,South Florida,Army,7.6,7.4,-0.2,0.836,33.44,complete,147,139,8,4.0,24.0,28.0,0.5781798958778381,3.0,0.8723710775375366,26.809456378221512
401862703,2026,2,regular,Navy,Florida Atlantic,7.11,,,0.756,30.24,source_not_completed,35,34,1,1.0,14.0,7.0,,,,
401862705,2026,2,regular,UNLV,North Texas,3.76,,,0.864,34.56,source_not_completed,15,15,0,1.0,3.0,0.0,,,,
401862707,2026,2,regular,Tulsa,Sam Houston,5.93,,,0.428,17.12,source_not_completed,74,74,0,2.0,14.0,7.0,,,,
401864500,2026,2,regular,Montana State,Nevada,5.45,4.06,-1.39,0.704,28.16,complete,173,168,5,4.0,7.0,20.0,0.37758272886276245,4.5,0.37251120805740356,6.9564116057008505
401864502,2026,2,regular,North Dakota State,Air Force,7.65,5.97,-1.68,0.89,35.6,complete,175,153,22,4.0,32.0,38.0,0.4732968211174011,1.5,0.469268798828125,7.794480129145086
401864503,2026,2,regular,Illinois State,Northern Illinois,7.35,,,0.864,34.56,source_not_completed,80,74,6,2.0,10.0,21.0,,,,
401864504,2026,2,regular,Cal Poly,San José State,4.66,5.22,0.56,0.138,5.52,complete,183,173,10,4.0,30.0,20.0,0.9516499638557434,21.5,0.32068777084350586,10.900601208209991
401864505,2026,2,regular,Texas Southern,UTEP,1.38,1.52,0.14,0.0620000000000001,2.48,complete,162,151,11,4.0,51.0,10.0,0.9781081676483154,27.5,0.13028573989868164,3.065056622028351
401864506,2026,2,regular,Northern Colorado,Wyoming,4.36,5.57,1.21,0.106,4.24,complete,160,153,7,4.0,21.0,13.0,0.946466863155365,23.5,0.6079080104827881,14.830550134181976
