away_color,home_color,season,week,notes,away_id,home_id,away_team,home_team,game_rating
#cfa0a8,#a6a6a6,2023,2,,2447,2628,Nicholls,TCU,3.76
#f2f5f7,#38a98a,2023,3,,112358,239,Long Island University,Baylor,3.76
#d98c8c,#ddb4b6,2018,1,,2546,2032,Southeast Missouri State,Arkansas State,3.76
#99a5bd,#3667a3,2022,1,,2115,41,Central Connecticut,Connecticut,3.76
#459d6b,#cc7a91,2023,5,,2483,24,Oregon(9),Stanford,3.76
#39aa8c,#d4969e,2020,11,,58,248,South Florida,Houston,3.76
#b8939a,#d6a286,2017,2,,135,204,Minnesota,Oregon State,3.76
#6e6e6e,#ddb4b6,2020,14,,2433,2032,Louisiana Monroe,Arkansas State,3.76
#c86781,#cfa0a8,2022,Bowls,jimmy kimmel la bowl presented by stifel,265,278,Washington State,Fresno State(24),3.76
#38a98a,#7a8bd3,2017,10,,239,2305,Baylor,Kansas,3.76
#a6a6a6,#d98c8c,2022,Bowls,cfp national championship pres. by at&t,2628,61,TCU(2),Georgia(1),3.75
#14c14c14c,#dc9797,2019,8,,2649,2050,Toledo,Ball State,3.75
#9b9b9c,#e7d3c6,2021,3,,399,183,Albany,Syracuse,3.75
#99a6b8,#4c4c4c,2016,14,,2247,70,Georgia State,Idaho,3.75
#7a8bd3,#e6c7b3,2019,12,,2305,197,Kansas,Oklahoma State(25),3.75
#689ecd,#e0cbcc,2018,5,,2277,2567,Houston Christian,SMU,3.75
#3671a1,#eddbd5,2017,9,,59,228,Georgia Tech,Clemson(7),3.75
#85b8d6,#3667a3,2021,8,,2393,41,Middle Tennessee,Connecticut,3.75
#39aa8c,#4c4c4c,2020,5,,58,2132,South Florida,Cincinnati(15),3.75
#d98c8c,#ede6cc,2019,15,,61,99,Georgia(4),LSU(1),3.75
#b8b8b8,#e7d3c6,2020,9,,154,183,Wake Forest,Syracuse,3.75
#3870aa,#949494,2015,9,,12,264,Arizona,Washington,3.75
#73a6d0,#4c4c4c,2021,11,,96,238,Kentucky,Vanderbilt,3.75
#c8596e,#b8b8b8,2022,8,,103,154,Boston College,Wake Forest(13),3.75
#4c4c4c,#38a690,2019,10,,2439,36,UNLV,Colorado State,3.74
#459d6b,#d6a286,2018,13,,2483,204,Oregon,Oregon State,3.74
#6e6e6e,#5096c4,2020,5,,2426,2005,Navy,Air Force,3.74
#c75e73,#d9c78e,2022,7,,2142,349,Colgate,Army,3.74
#c0437e,#4890c2,2016,Bowls,miami beach bowl,2117,202,Central Michigan,Tulsa,3.74
#3e70b8,#d5a6af,2018,12,,213,164,Penn State(16),Rutgers,3.74
#8e8e8e,#bf405a,2022,3,,195,66,Ohio,Iowa State,3.74
#99a6b8,#868686,2019,3,,2247,2711,Georgia State,Western Michigan,3.74
#e2a9ae,#d8c2c0,2020,8,,158,194,Nebraska,Ohio State(5),3.74
#6e6e6e,#b83d6f,2023,3,,2433,245,Louisiana Monroe,Texas A&M,3.73
#4abfc2,#9156c7,2022,13,,324,256,Coastal Carolina(23),James Madison,3.73
#3c60b4,#3f7fbd,2016,12,,150,221,Duke,Pittsburgh,3.73
#e7d3c6,#a0a0a0,2023,7,,183,52,Syracuse,Florida State(4),3.73
#99a6b8,#10d10c10a,2021,2,,2247,153,Georgia State,North Carolina(24),3.73
#3871a6,#bb929a,2023,2,,2309,8,Kent State,Arkansas,3.73
#d6a286,#b39ba0,2022,12,,204,9,Oregon State(25),Arizona State,3.73
#329870,#57c78a,2015,6,,2502,249,Portland State,North Texas,3.73
#c8596e,#e9cdc6,2017,8,,103,258,Boston College,Virginia,3.73
#ababae,#d07980,2015,2,,2127,2653,Charleston Southern,Troy,3.73
#ecdecd,#10d10c10a,2022,1,,50,153,Florida A&M,North Carolina,3.73
#85b8d6,#76d198,2020,11,,2393,276,Middle Tennessee,Marshall(16),3.73
#d4969e,#4c4c4c,2020,10,,248,2132,Houston,Cincinnati(6),3.73
#4c4c4c,#4c4c4c,2015,11,,2026,70,Appalachian State,Idaho,3.73
#d88998,#7a8bd3,2017,6,,2641,2305,Texas Tech,Kansas,3.73
#3d75b8,#5796c7,2020,9,,2636,2226,UT San Antonio,Florida Atlantic,3.73
#b8939a,#db93a2,2018,4,,135,120,Minnesota,Maryland,3.73
#e0babb,#c8596e,2021,7,,152,103,NC State(22),Boston College,3.73
#9b9b9c,#6f7cc9,2015,1,,399,2084,Albany,Buffalo,3.73
#6e6e6e,#4c4c4c,2016,12,,2433,2026,Louisiana Monroe,Appalachian State,3.72
#c45050,#7a8bd3,2019,6,,201,2305,Oklahoma(6),Kansas,3.72
#73a6d0,#d98c8c,2023,6,,96,61,Kentucky(20),Georgia(1),3.72
#e9cdc6,#eddbd5,2019,15,,258,228,Virginia(22),Clemson(3),3.72
#e0cbcc,#57c78a,2022,1,,2567,249,SMU,North Texas,3.72
#f0ded1,#436fa6,2017,3,,2382,2,Mercer,Auburn(15),3.72
#5096c4,#cababb,2022,13,,2005,21,Air Force,San Diego State,3.72
#e6ccb3,#f4ebe0,2019,5,,2638,2572,UTEP,Southern Mississippi,3.72
#5880c8,#3f7fbd,2022,Bowls,servpro first responder bowl,235,328,Memphis,Utah State,3.72
#d07980,#d9c78e,2023,7,,2653,349,Troy,Army,3.72
#c0425a,#4c4c4c,2020,4,,333,142,Alabama(2),Missouri,3.72
#38a98a,#e6c7b3,2017,7,,239,197,Baylor,Oklahoma State(14),3.72
#4c4c4c,#4c4c4c,2017,8,,70,142,Idaho,Missouri,3.72
#10d10c10a,#3c60b4,2020,10,,153,150,North Carolina,Duke,3.72
#d3a5b1,#4c4c4c,2023,1,,233,142,South Dakota,Missouri,3.72
#14c14c14c,#dc9797,2017,9,,2649,2050,Toledo,Ball State,3.72
#839fb6,#878787,2022,2,,2458,2751,Northern Colorado,Wyoming,3.72
#ce6b6c,#ebd8ce,2017,9,,275,356,Wisconsin(5),Illinois,3.72
#4078be,#eddbd5,2022,3,,2348,228,Louisiana Tech,Clemson(5),3.72
#d98c8c,#e5d9c9,2019,6,,61,2633,Georgia(3),Tennessee,3.72
#6e6e6e,#d07980,2015,10,,2433,2653,Louisiana Monroe,Troy,3.71
#ede6cc,#9e9292,2019,8,,99,344,LSU(2),Mississippi State,3.71
#7a8bd3,#38a98a,2020,4,,2305,239,Kansas,Baylor,3.71
#10d10c10a,#519bc5,2017,3,,153,295,North Carolina,Old Dominion,3.71
#3870aa,#c86781,2023,7,,12,265,Arizona,Washington State(19),3.71
#a6a6a6,#afafaf,2017,7,,2628,2306,TCU(6),Kansas State,3.71
#518ac5,#4078be,2016,9,,242,2348,Rice,Louisiana Tech,3.71
#e1bbbf,#935531,2017,8,,2459,189,Northern Illinois,Bowling Green,3.71
#ae7b7c,#4078be,2016,2,,2569,2348,South Carolina State,Louisiana Tech,3.71
#a6a6a6,#afafaf,2023,8,,2628,2306,TCU,Kansas State,3.71
#3e72b9,#14c14c14c,2021,13,,2006,2649,Akron,Toledo,3.71
#d98c8c,#afafaf,2023,1,,2546,2306,Southeast Missouri State,Kansas State(16),3.71
#cababb,#339a72,2017,9,,21,62,San Diego State,Hawai'i,3.71
#e2c9a6,#4c4c4c,2015,4,,304,2439,Idaho State,UNLV,3.71
#c8596e,#eddbd5,2017,4,,103,228,Boston College,Clemson(2),3.71
#329870,#949494,2022,2,,2502,264,Portland State,Washington,3.7
#db93a2,#d5a6af,2019,6,,120,164,Maryland,Rutgers,3.7
#e0cbcc,#cc7a91,2016,5,,2567,218,SMU,Temple,3.7
#d07980,#3966ac,2020,4,,2653,252,Troy,BYU(18),3.7
#eddbd5,#a0a0a0,2018,9,,228,52,Clemson(2),Florida State,3.7
#e6ccb3,#e6c6c7,2018,12,,2638,98,UTEP,Western Kentucky,3.7
#cababb,#3f7fbd,2016,9,,21,328,San Diego State,Utah State,3.7
#4abfc2,#ddb4b6,2017,7,,324,2032,Coastal Carolina,Arkansas State,3.7
#3c60b4,#e9cdc6,2021,7,,150,258,Duke,Virginia,3.7
#c6c3b4,#ce6b6c,2015,7,,2509,275,Purdue,Wisconsin,3.7
#9858aa,#85797a,2015,2,,2504,326,Prairie View,Texas State,3.7
#dc9797,#3e72b9,2017,6,,2050,2006,Ball State,Akron,3.7
#c44e4e,#3c60b4,2023,2,,322,150,Lafayette,Duke(21),3.7
#85b8d6,#e6c6c7,2015,6,,2393,98,Middle Tennessee,Western Kentucky,3.7
#4c4c4c,#d88998,2023,3,,2627,2641,Tarleton State,Texas Tech,3.7
#85b8d6,#4078be,2015,8,,2393,2348,Middle Tennessee,Louisiana Tech,3.7
#3e70b8,#b5706d,2022,10,,213,84,Penn State(16),Indiana,3.7
#cf6e75,#4c4c4c,2019,1,,193,2294,Miami (OH),Iowa(20),3.7
#d98c8c,#4c4c4c,2020,15,,61,142,Georgia(12),Missouri,3.69
#6f7cc9,#d5a6af,2018,4,,2084,164,Buffalo,Rutgers,3.69
#339a72,#3966ac,2018,7,,62,252,Hawai'i,BYU,3.69
#518ac5,#f0e9d3,2022,1,,242,30,Rice,USC(14),3.69
#4c4c4c,#3667a3,2017,9,,142,41,Missouri,Connecticut,3.69
#c0437e,#ede6cc,2021,3,,2117,99,Central Michigan,LSU,3.69
#828282,#cfa0a8,2021,2,,13,278,Cal Poly,Fresno State,3.69
#4c4c4c,#6e6e6e,2020,9,,2026,2433,Appalachian State,Louisiana Monroe,3.69
#37a574,#10d10c10a,2015,11,,2390,153,Miami,North Carolina(17),3.69
#917e9c,#e6dab3,2017,2,,151,277,East Carolina,West Virginia,3.69
#9e9292,#ede6cc,2018,8,,344,99,Mississippi State(22),LSU(5),3.69
#e4d3c7,#38a98a,2023,4,,251,239,Texas(3),Baylor,3.69
#7a8bd3,#e4d3c7,2015,10,,2305,251,Kansas,Texas,3.69
#c85976,#5ea3c9,2023,3,,2428,26,North Carolina Central,UCLA(24),3.69
#a6a6a6,#e6dab3,2016,8,,2628,277,TCU,West Virginia(12),3.68
#d9c78e,#ede6cc,2023,8,,349,99,Army,LSU(19),3.68
#9e9292,#436fa6,2017,5,,344,2,Mississippi State(24),Auburn(13),3.68
#6f7cc9,#339969,2019,10,,2084,2199,Buffalo,Eastern Michigan,3.68
#f4ebe0,#85b8d6,2021,9,,2572,2393,Southern Mississippi,Middle Tennessee,3.68
#b4b4b4,#5880c8,2020,12,,2617,235,Stephen F. Austin,Memphis,3.68
#518ac5,#38a98a,2015,4,,242,239,Rice,Baylor(5),3.68
#f6f6f6,#3853a9,2022,2,,2110,145,Central Arkansas,Ole Miss(22),3.68
#4c4c4c,#4c4c4c,2018,6,,167,2439,New Mexico,UNLV,3.68
#61a0ca,#bf405a,2016,4,,23,66,San José State,Iowa State,3.68
#a8848d,#37a574,2022,1,,2065,2390,Bethune-Cookman,Miami(16),3.68
